mesh,method,mae_x,mae_y,mae_z,mae_all,mse_x,mse_y,mse_z,mse_all
branch,minmax,0.00081867597,0.00093304954,0.00045029566,0.00073400553,8.9832196e-07,1.1737377e-06,2.7254498e-07,7.8153266e-07
branch,unitsphere,0.0012971172,0.0013688018,0.001308579,0.0013248336,2.2969843e-06,2.4499047e-06,2.2715546e-06,2.3394787e-06
cylinder,minmax,0.0009164214,0.0,0.0009164214,0.0006109476,1.1949461e-06,0.0,1.1949458e-06,7.9663096e-07
cylinder,unitsphere,0.001382412,0.0013823807,0.0013824127,0.0013824019,2.5257045e-06,2.669258e-06,2.5257057e-06,2.573556e-06
explosive,minmax,0.00019609496,0.0004384133,0.00019116928,0.00027522634,5.2543204e-08,2.7205633e-07,4.7971643e-08,1.2419027e-07
explosive,unitsphere,0.0005542295,0.00062094064,0.00054755143,0.00057424174,4.2092705e-07,4.6480926e-07,3.9739427e-07,4.2771077e-07
fence,minmax,0.00042580508,0.00038879414,3.874535e-06,0.00027282472,2.6360976e-07,2.0694311e-07,8.520942e-11,1.5687957e-07
fence,unitsphere,0.0005316775,0.00046401046,0.0004858756,0.00049385405,4.0848496e-07,3.4475676e-07,3.1895254e-07,3.573981e-07
girl,minmax,0.0004907383,0.0004414523,0.00017741391,0.00036986804,3.1480243e-07,2.5946204e-07,4.2003894e-08,2.0542291e-07
girl,unitsphere,0.0005192401,0.0005394635,0.0005081868,0.00052229903,3.5488546e-07,3.7837012e-07,3.4883183e-07,3.6069457e-07
person,minmax,0.00082004943,0.0010401672,0.00021489171,0.0006917033,9.083665e-07,1.3971048e-06,6.154713e-08,7.890072e-07
person,unitsphere,0.0012113398,0.0011337792,0.0011164155,0.0011538448,1.9316988e-06,1.7258038e-06,1.7049839e-06,1.7875027e-06
table,minmax,0.00016382385,0.00027135553,0.00048504892,0.0003067422,4.331074e-08,1.0310695e-07,3.0002437e-07,1.4881358e-07
table,unitsphere,0.0006004724,0.0005989923,0.00059727154,0.0005989125,4.6851858e-07,4.6749923e-07,4.7386865e-07,4.6996357e-07
talwar,minmax,3.1513722e-05,0.00053706404,0.00011662966,0.00022840315,1.3872155e-09,3.7258846e-07,1.8060339e-08,1.3067825e-07
talwar,unitsphere,0.0006892783,0.0006705837,0.00064706075,0.0006689749,6.3764924e-07,6.000275e-07,5.702471e-07,6.026418e-07
